¼øÀ§,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
8,KIA,5.13,144,73,71,33,79,0.507,1270,1399,120,559,70,1038,795,724,1.54
4,KT,4.54,144,81,62,33,71,0.5660000000000001,1290,1357,118,523,59,848,715,651,1.46
2,LG,4.37,144,79,61,29,67,0.564,1292,1344,123,493,86,1019,694,627,1.42
5,NC,4.58,144,83,55,31,88,0.601,1296,1292,153,547,79,1049,714,660,1.42
10,SK,5.57,144,51,92,20,53,0.35700000000000004,1259,1343,162,670,84,953,846,780,1.6
1,µÎ»ê,4.31,144,79,61,23,45,0.564,1285,1395,109,478,61,1046,695,616,1.46
6,·Ôµ¥,4.64,144,71,72,25,59,0.49700000000000005,1277,1351,143,447,58,1002,720,659,1.41
7,»ï¼º,4.78,144,64,75,25,80,0.46,1272,1330,151,542,67,931,745,676,1.47
3,Å°¿ò,4.39,144,80,63,42,81,0.5589999999999999,1280,1336,126,446,73,950,692,624,1.39
9,ÇÑÈ­,5.28,144,46,95,21,54,0.326,1265,1400,158,609,79,1019,820,742,1.59
