¼øÀ§,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
10,KIA,0.251,454,16,101,1126,105,0.392,0.326,0.718,144,0.248,0.198
6,KT,0.273,507,21,58,1112,118,0.402,0.345,0.747,142,0.272,0.267
9,LG,0.26899999999999996,462,18,80,1076,98,0.39899999999999997,0.33899999999999997,0.738,144,0.245,0.218
4,NC,0.289,536,25,106,1023,105,0.455,0.36700000000000005,0.8220000000000001,144,0.293,0.28
7,SK,0.272,490,13,98,1047,113,0.41,0.349,0.759,144,0.28,0.22699999999999998
2,³Ø¼¾,0.298,544,18,82,1098,112,0.486,0.37200000000000005,0.858,141,0.298,0.27
3,µÎ»ê,0.29,567,24,99,820,139,0.435,0.37,0.805,143,0.287,0.262
5,·Ôµ¥,0.28,532,22,68,1186,136,0.446,0.35600000000000004,0.802,144,0.27399999999999997,0.183
1,»ï¼º,0.302,581,21,70,930,109,0.469,0.37799999999999995,0.847,143,0.311,0.239
8,ÇÑÈ­,0.271,581,33,109,1135,112,0.40399999999999997,0.36,0.764,144,0.26899999999999996,0.207
