¼øÀ§,ÆÀ¸í,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
1,NC,144,87,9,3890,1294,120,0.983,10,49,42,46.2
2,LG,144,80,6,3878,1460,156,0.985,9,89,36,28.8
3,KT,144,102,4,3871,1486,154,0.981,10,75,21,21.9
4,µÎ»ê,144,85,10,3857,1282,126,0.984,6,91,25,21.6
5,Å°¿ò,144,112,15,3841,1544,143,0.980,8,87,39,31.0
6,·Ôµ¥,144,94,3,3832,1444,124,0.982,7,95,28,22.8
7,»ï¼º,144,102,9,3817,1310,126,0.980,6,57,38,40.0
8,KIA,144,100,7,3810,1480,169,0.981,10,82,46,35.9
9,ÇÑÈ­,144,100,7,3795,1279,133,0.981,10,120,45,27.3
10,SK,144,99,6,3778,1326,139,0.981,6,129,57,30.6
